device_instance,object_identifier,property_name,property_value,address,maxAPDULengthAccepted,segmentationSupported,objectName,description,units
57017,analogInput:10,resolution,1.00E-06,24001:17,480,noSegmentation,Delta Temperature Average,Delta Temperature Average - 57017,degreesFahrenheit
57017,analogInput:10,statusFlags,"[0, 0, 0, 0]",24001:17,480,noSegmentation,Delta Temperature Average,Delta Temperature Average - 57017,degreesFahrenheit
57017,analogInput:10,updateInterval,14414,24001:17,480,noSegmentation,Delta Temperature Average,Delta Temperature Average - 57017,degreesFahrenheit
57017,analogInput:2,eventState,normal,24001:17,480,noSegmentation,Volume Rate,Volume Rate - 57017,usGallonsPerMinute
57017,analogInput:2,maxPresValue,1000000000,24001:17,480,noSegmentation,Volume Rate,Volume Rate - 57017,usGallonsPerMinute
57017,analogInput:2,minPresValue,-1000000000,24001:17,480,noSegmentation,Volume Rate,Volume Rate - 57017,usGallonsPerMinute
57017,analogInput:2,outOfService,FALSE,24001:17,480,noSegmentation,Volume Rate,Volume Rate - 57017,usGallonsPerMinute
57017,analogInput:2,presentValue,0,24001:17,480,noSegmentation,Volume Rate,Volume Rate - 57017,usGallonsPerMinute
57017,analogInput:2,reliability,noFaultDetected,24001:17,480,noSegmentation,Volume Rate,Volume Rate - 57017,usGallonsPerMinute
57017,analogInput:2,resolution,1.00E-06,24001:17,480,noSegmentation,Volume Rate,Volume Rate - 57017,usGallonsPerMinute
57017,analogInput:2,statusFlags,"[0, 0, 0, 0]",24001:17,480,noSegmentation,Volume Rate,Volume Rate - 57017,usGallonsPerMinute
57017,analogInput:2,updateInterval,12212959,24001:17,480,noSegmentation,Volume Rate,Volume Rate - 57017,usGallonsPerMinute
57017,analogInput:3,eventState,normal,24001:17,480,noSegmentation,Supply Temperature,Supply Temperature - 57017,degreesFahrenheit
57017,analogInput:3,maxPresValue,500,24001:17,480,noSegmentation,Supply Temperature,Supply Temperature - 57017,degreesFahrenheit
57017,analogInput:3,minPresValue,-100,24001:17,480,noSegmentation,Supply Temperature,Supply Temperature - 57017,degreesFahrenheit
57017,analogInput:3,outOfService,FALSE,24001:17,480,noSegmentation,Supply Temperature,Supply Temperature - 57017,degreesFahrenheit
57017,analogInput:3,presentValue,76.18227386,24001:17,480,noSegmentation,Supply Temperature,Supply Temperature - 57017,degreesFahrenheit
57017,analogInput:3,reliability,noFaultDetected,24001:17,480,noSegmentation,Supply Temperature,Supply Temperature - 57017,degreesFahrenheit
57017,analogInput:3,resolution,1.00E-06,24001:17,480,noSegmentation,Supply Temperature,Supply Temperature - 57017,degreesFahrenheit
57017,analogInput:3,statusFlags,"[0, 0, 0, 0]",24001:17,480,noSegmentation,Supply Temperature,Supply Temperature - 57017,degreesFahrenheit
57017,analogInput:3,updateInterval,83,24001:17,480,noSegmentation,Supply Temperature,Supply Temperature - 57017,degreesFahrenheit
57017,analogInput:4,eventState,normal,24001:17,480,noSegmentation,Return Temperature,Return Temperature - 57017,degreesFahrenheit
57017,analogInput:4,maxPresValue,500,24001:17,480,noSegmentation,Return Temperature,Return Temperature - 57017,degreesFahrenheit
57017,analogInput:4,minPresValue,-100,24001:17,480,noSegmentation,Return Temperature,Return Temperature - 57017,degreesFahrenheit
57017,analogInput:4,outOfService,FALSE,24001:17,480,noSegmentation,Return Temperature,Return Temperature - 57017,degreesFahrenheit
57017,analogInput:4,presentValue,84.45168304,24001:17,480,noSegmentation,Return Temperature,Return Temperature - 57017,degreesFahrenheit
57017,analogInput:4,reliability,noFaultDetected,24001:17,480,noSegmentation,Return Temperature,Return Temperature - 57017,degreesFahrenheit
57017,analogInput:4,resolution,1.00E-06,24001:17,480,noSegmentation,Return Temperature,Return Temperature - 57017,degreesFahrenheit
57017,analogInput:4,statusFlags,"[0, 0, 0, 0]",24001:17,480,noSegmentation,Return Temperature,Return Temperature - 57017,degreesFahrenheit
57017,analogInput:4,updateInterval,6,24001:17,480,noSegmentation,Return Temperature,Return Temperature - 57017,degreesFahrenheit
57017,analogInput:5,eventState,normal,24001:17,480,noSegmentation,Delta Temperature,Delta Temperature - 57017,degreesFahrenheit
57017,analogInput:5,maxPresValue,500,24001:17,480,noSegmentation,Delta Temperature,Delta Temperature - 57017,degreesFahrenheit
57017,analogInput:5,minPresValue,-600,24001:17,480,noSegmentation,Delta Temperature,Delta Temperature - 57017,degreesFahrenheit
57017,analogInput:5,outOfService,FALSE,24001:17,480,noSegmentation,Delta Temperature,Delta Temperature - 57017,degreesFahrenheit
57017,analogInput:5,presentValue,8.265281677,24001:17,480,noSegmentation,Delta Temperature,Delta Temperature - 57017,degreesFahrenheit
57017,analogInput:5,reliability,noFaultDetected,24001:17,480,noSegmentation,Delta Temperature,Delta Temperature - 57017,degreesFahrenheit
57017,analogInput:5,resolution,1.00E-06,24001:17,480,noSegmentation,Delta Temperature,Delta Temperature - 57017,degreesFahrenheit
57017,analogInput:5,statusFlags,"[0, 0, 0, 0]",24001:17,480,noSegmentation,Delta Temperature,Delta Temperature - 57017,degreesFahrenheit
57017,analogInput:5,updateInterval,20,24001:17,480,noSegmentation,Delta Temperature,Delta Temperature - 57017,degreesFahrenheit
57017,analogInput:6,eventState,normal,24001:17,480,noSegmentation,Signal Strength,Signal Strength - 57017,noUnits
57017,analogInput:6,maxPresValue,1000000,24001:17,480,noSegmentation,Signal Strength,Signal Strength - 57017,noUnits
57017,analogInput:6,minPresValue,0,24001:17,480,noSegmentation,Signal Strength,Signal Strength - 57017,noUnits
57017,analogInput:6,outOfService,FALSE,24001:17,480,noSegmentation,Signal Strength,Signal Strength - 57017,noUnits
57017,analogInput:6,presentValue,90.32257843,24001:17,480,noSegmentation,Signal Strength,Signal Strength - 57017,noUnits
57017,analogInput:6,reliability,noFaultDetected,24001:17,480,noSegmentation,Signal Strength,Signal Strength - 57017,noUnits
57017,analogInput:6,resolution,1.00E-04,24001:17,480,noSegmentation,Signal Strength,Signal Strength - 57017,noUnits
57017,analogInput:6,statusFlags,"[0, 0, 0, 0]",24001:17,480,noSegmentation,Signal Strength,Signal Strength - 57017,noUnits
57017,analogInput:6,updateInterval,960286959,24001:17,480,noSegmentation,Signal Strength,Signal Strength - 57017,noUnits
57017,analogInput:7,eventState,normal,24001:17,480,noSegmentation,Signal Quality,Signal Quality - 57017,noUnits
57017,analogInput:7,maxPresValue,1000000,24001:17,480,noSegmentation,Signal Quality,Signal Quality - 57017,noUnits
57017,analogInput:7,minPresValue,0,24001:17,480,noSegmentation,Signal Quality,Signal Quality - 57017,noUnits
57017,analogInput:7,outOfService,FALSE,24001:17,480,noSegmentation,Signal Quality,Signal Quality - 57017,noUnits
57017,analogInput:7,presentValue,3,24001:17,480,noSegmentation,Signal Quality,Signal Quality - 57017,noUnits
57017,analogInput:7,reliability,noFaultDetected,24001:17,480,noSegmentation,Signal Quality,Signal Quality - 57017,noUnits
57017,analogInput:7,resolution,1.00E-04,24001:17,480,noSegmentation,Signal Quality,Signal Quality - 57017,noUnits
57017,analogInput:7,statusFlags,"[0, 0, 0, 0]",24001:17,480,noSegmentation,Signal Quality,Signal Quality - 57017,noUnits
57017,analogInput:7,updateInterval,960286972,24001:17,480,noSegmentation,Signal Quality,Signal Quality - 57017,noUnits
57017,analogInput:8,eventState,normal,24001:17,480,noSegmentation,Speed of Sound,Speed of Sound - 57017,feetPerSecond
57017,analogInput:8,maxPresValue,1000000,24001:17,480,noSegmentation,Speed of Sound,Speed of Sound - 57017,feetPerSecond
57017,analogInput:8,minPresValue,0,24001:17,480,noSegmentation,Speed of Sound,Speed of Sound - 57017,feetPerSecond
57017,analogInput:8,outOfService,FALSE,24001:17,480,noSegmentation,Speed of Sound,Speed of Sound - 57017,feetPerSecond
57017,analogInput:8,presentValue,4893.20459,24001:17,480,noSegmentation,Speed of Sound,Speed of Sound - 57017,feetPerSecond
57017,analogInput:8,reliability,noFaultDetected,24001:17,480,noSegmentation,Speed of Sound,Speed of Sound - 57017,feetPerSecond
57017,analogInput:8,resolution,1.00E-04,24001:17,480,noSegmentation,Speed of Sound,Speed of Sound - 57017,feetPerSecond
57017,analogInput:8,statusFlags,"[0, 0, 0, 0]",24001:17,480,noSegmentation,Speed of Sound,Speed of Sound - 57017,feetPerSecond
57017,analogInput:8,updateInterval,55,24001:17,480,noSegmentation,Speed of Sound,Speed of Sound - 57017,feetPerSecond
57017,analogInput:9,eventState,normal,24001:17,480,noSegmentation,Energy Rate Peak,Energy Rate Peak - 57017,kiloBtusPerHour
57017,analogInput:9,maxPresValue,1000000000,24001:17,480,noSegmentation,Energy Rate Peak,Energy Rate Peak - 57017,kiloBtusPerHour
57017,analogInput:9,minPresValue,-1000000000,24001:17,480,noSegmentation,Energy Rate Peak,Energy Rate Peak - 57017,kiloBtusPerHour
57017,analogInput:9,outOfService,FALSE,24001:17,480,noSegmentation,Energy Rate Peak,Energy Rate Peak - 57017,kiloBtusPerHour
57017,analogInput:9,presentValue,0,24001:17,480,noSegmentation,Energy Rate Peak,Energy Rate Peak - 57017,kiloBtusPerHour
57017,analogInput:9,reliability,noFaultDetected,24001:17,480,noSegmentation,Energy Rate Peak,Energy Rate Peak - 57017,kiloBtusPerHour
57017,analogInput:9,resolution,1.00E-06,24001:17,480,noSegmentation,Energy Rate Peak,Energy Rate Peak - 57017,kiloBtusPerHour
57017,analogInput:9,statusFlags,"[0, 0, 0, 0]",24001:17,480,noSegmentation,Energy Rate Peak,Energy Rate Peak - 57017,kiloBtusPerHour
57017,analogInput:9,updateInterval,14406,24001:17,480,noSegmentation,Energy Rate Peak,Energy Rate Peak - 57017,kiloBtusPerHour
57017,analogValue:1,eventState,normal,24001:17,480,noSegmentation,Energy Total Mode 1,Energy Total Mode 1 - 57017,kiloBtus
57017,analogValue:1,outOfService,FALSE,24001:17,480,noSegmentation,Energy Total Mode 1,Energy Total Mode 1 - 57017,kiloBtus
57017,analogValue:1,presentValue,6005.124023,24001:17,480,noSegmentation,Energy Total Mode 1,Energy Total Mode 1 - 57017,kiloBtus
57017,analogValue:1,priorityArray,"[{""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}]",24001:17,480,noSegmentation,Energy Total Mode 1,Energy Total Mode 1 - 57017,kiloBtus
57017,analogValue:1,reliability,noFaultDetected,24001:17,480,noSegmentation,Energy Total Mode 1,Energy Total Mode 1 - 57017,kiloBtus
57017,analogValue:1,relinquishDefault,0,24001:17,480,noSegmentation,Energy Total Mode 1,Energy Total Mode 1 - 57017,kiloBtus
57017,analogValue:1,statusFlags,"[0, 0, 0, 0]",24001:17,480,noSegmentation,Energy Total Mode 1,Energy Total Mode 1 - 57017,kiloBtus
57017,analogValue:10,eventState,normal,24001:17,480,noSegmentation,Volume Total Mode 2,Volume Total Mode 2 - 57017,usGallons
57017,analogValue:10,outOfService,FALSE,24001:17,480,noSegmentation,Volume Total Mode 2,Volume Total Mode 2 - 57017,usGallons
57017,analogValue:10,presentValue,307001,24001:17,480,noSegmentation,Volume Total Mode 2,Volume Total Mode 2 - 57017,usGallons
57017,analogValue:10,priorityArray,"[{""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}]",24001:17,480,noSegmentation,Volume Total Mode 2,Volume Total Mode 2 - 57017,usGallons
57017,analogValue:10,reliability,noFaultDetected,24001:17,480,noSegmentation,Volume Total Mode 2,Volume Total Mode 2 - 57017,usGallons
57017,analogValue:10,relinquishDefault,0,24001:17,480,noSegmentation,Volume Total Mode 2,Volume Total Mode 2 - 57017,usGallons
57017,analogValue:10,statusFlags,"[0, 0, 0, 0]",24001:17,480,noSegmentation,Volume Total Mode 2,Volume Total Mode 2 - 57017,usGallons
57017,analogValue:11,eventState,normal,24001:17,480,noSegmentation,Y-T-D Volume Total Mode 1,Y-T-D Volume Total Mode 1 - 57017,usGallons
57017,analogValue:11,outOfService,FALSE,24001:17,480,noSegmentation,Y-T-D Volume Total Mode 1,Y-T-D Volume Total Mode 1 - 57017,usGallons
57017,analogValue:11,presentValue,8650,24001:17,480,noSegmentation,Y-T-D Volume Total Mode 1,Y-T-D Volume Total Mode 1 - 57017,usGallons
57017,analogValue:11,priorityArray,"[{""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}]",24001:17,480,noSegmentation,Y-T-D Volume Total Mode 1,Y-T-D Volume Total Mode 1 - 57017,usGallons
57017,analogValue:11,reliability,noFaultDetected,24001:17,480,noSegmentation,Y-T-D Volume Total Mode 1,Y-T-D Volume Total Mode 1 - 57017,usGallons
57017,analogValue:11,relinquishDefault,0,24001:17,480,noSegmentation,Y-T-D Volume Total Mode 1,Y-T-D Volume Total Mode 1 - 57017,usGallons
57017,analogValue:11,statusFlags,"[0, 0, 0, 0]",24001:17,480,noSegmentation,Y-T-D Volume Total Mode 1,Y-T-D Volume Total Mode 1 - 57017,usGallons
57017,analogValue:12,eventState,normal,24001:17,480,noSegmentation,Y-T-D Volume Total Mode 2,Y-T-D Volume Total Mode 2 - 57017,usGallons
57017,analogValue:12,outOfService,FALSE,24001:17,480,noSegmentation,Y-T-D Volume Total Mode 2,Y-T-D Volume Total Mode 2 - 57017,usGallons
57017,analogValue:12,presentValue,8650,24001:17,480,noSegmentation,Y-T-D Volume Total Mode 2,Y-T-D Volume Total Mode 2 - 57017,usGallons
57017,analogValue:12,priorityArray,"[{""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}]",24001:17,480,noSegmentation,Y-T-D Volume Total Mode 2,Y-T-D Volume Total Mode 2 - 57017,usGallons
57017,analogValue:12,reliability,noFaultDetected,24001:17,480,noSegmentation,Y-T-D Volume Total Mode 2,Y-T-D Volume Total Mode 2 - 57017,usGallons
57017,analogValue:12,relinquishDefault,0,24001:17,480,noSegmentation,Y-T-D Volume Total Mode 2,Y-T-D Volume Total Mode 2 - 57017,usGallons
57017,analogValue:12,statusFlags,"[0, 0, 0, 0]",24001:17,480,noSegmentation,Y-T-D Volume Total Mode 2,Y-T-D Volume Total Mode 2 - 57017,usGallons
57017,analogValue:13,eventState,normal,24001:17,480,noSegmentation,User Defined Volume Total Mode 1,User Defined Volume Total Mode 1 - 57017,usGallons
57017,analogValue:13,outOfService,FALSE,24001:17,480,noSegmentation,User Defined Volume Total Mode 1,User Defined Volume Total Mode 1 - 57017,usGallons
57017,analogValue:13,presentValue,307001,24001:17,480,noSegmentation,User Defined Volume Total Mode 1,User Defined Volume Total Mode 1 - 57017,usGallons
57017,analogValue:13,priorityArray,"[{""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}]",24001:17,480,noSegmentation,User Defined Volume Total Mode 1,User Defined Volume Total Mode 1 - 57017,usGallons
57017,analogValue:13,reliability,noFaultDetected,24001:17,480,noSegmentation,User Defined Volume Total Mode 1,User Defined Volume Total Mode 1 - 57017,usGallons
57017,analogValue:13,relinquishDefault,0,24001:17,480,noSegmentation,User Defined Volume Total Mode 1,User Defined Volume Total Mode 1 - 57017,usGallons
57017,analogValue:13,statusFlags,"[0, 0, 0, 0]",24001:17,480,noSegmentation,User Defined Volume Total Mode 1,User Defined Volume Total Mode 1 - 57017,usGallons
57017,analogValue:14,eventState,normal,24001:17,480,noSegmentation,User Defined Volume Total Mode 2,User Defined Volume Total Mode 2 - 57017,usGallons
57017,analogValue:14,outOfService,FALSE,24001:17,480,noSegmentation,User Defined Volume Total Mode 2,User Defined Volume Total Mode 2 - 57017,usGallons
57017,analogValue:14,presentValue,307001,24001:17,480,noSegmentation,User Defined Volume Total Mode 2,User Defined Volume Total Mode 2 - 57017,usGallons
57017,analogValue:14,priorityArray,"[{""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}]",24001:17,480,noSegmentation,User Defined Volume Total Mode 2,User Defined Volume Total Mode 2 - 57017,usGallons
57017,analogValue:14,reliability,noFaultDetected,24001:17,480,noSegmentation,User Defined Volume Total Mode 2,User Defined Volume Total Mode 2 - 57017,usGallons
57017,analogValue:14,relinquishDefault,0,24001:17,480,noSegmentation,User Defined Volume Total Mode 2,User Defined Volume Total Mode 2 - 57017,usGallons
57017,analogValue:14,statusFlags,"[0, 0, 0, 0]",24001:17,480,noSegmentation,User Defined Volume Total Mode 2,User Defined Volume Total Mode 2 - 57017,usGallons
57017,analogValue:15,eventState,normal,24001:17,480,noSegmentation,Aux Pulse Input Total 1,Aux Pulse Input Total 1 - 57017,noUnits
57017,analogValue:15,outOfService,FALSE,24001:17,480,noSegmentation,Aux Pulse Input Total 1,Aux Pulse Input Total 1 - 57017,noUnits
57017,analogValue:15,presentValue,0,24001:17,480,noSegmentation,Aux Pulse Input Total 1,Aux Pulse Input Total 1 - 57017,noUnits
57017,analogValue:15,priorityArray,"[{""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}]",24001:17,480,noSegmentation,Aux Pulse Input Total 1,Aux Pulse Input Total 1 - 57017,noUnits
57017,analogValue:15,reliability,noFaultDetected,24001:17,480,noSegmentation,Aux Pulse Input Total 1,Aux Pulse Input Total 1 - 57017,noUnits
57017,analogValue:15,relinquishDefault,0,24001:17,480,noSegmentation,Aux Pulse Input Total 1,Aux Pulse Input Total 1 - 57017,noUnits
57017,analogValue:15,statusFlags,"[0, 0, 0, 0]",24001:17,480,noSegmentation,Aux Pulse Input Total 1,Aux Pulse Input Total 1 - 57017,noUnits
57017,analogValue:16,eventState,normal,24001:17,480,noSegmentation,Aux Pulse Input Total 2,Aux Pulse Input Total 2 - 57017,noUnits
57017,analogValue:16,outOfService,FALSE,24001:17,480,noSegmentation,Aux Pulse Input Total 2,Aux Pulse Input Total 2 - 57017,noUnits
57017,analogValue:16,presentValue,0,24001:17,480,noSegmentation,Aux Pulse Input Total 2,Aux Pulse Input Total 2 - 57017,noUnits
57017,analogValue:16,priorityArray,"[{""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}]",24001:17,480,noSegmentation,Aux Pulse Input Total 2,Aux Pulse Input Total 2 - 57017,noUnits
57017,analogValue:16,reliability,noFaultDetected,24001:17,480,noSegmentation,Aux Pulse Input Total 2,Aux Pulse Input Total 2 - 57017,noUnits
57017,analogValue:16,relinquishDefault,0,24001:17,480,noSegmentation,Aux Pulse Input Total 2,Aux Pulse Input Total 2 - 57017,noUnits
57017,analogValue:16,statusFlags,"[0, 0, 0, 0]",24001:17,480,noSegmentation,Aux Pulse Input Total 2,Aux Pulse Input Total 2 - 57017,noUnits
57017,analogValue:17,eventState,normal,24001:17,480,noSegmentation,Aux Pulse Input Total 3,Aux Pulse Input Total 3 - 57017,noUnits
57017,analogValue:17,outOfService,FALSE,24001:17,480,noSegmentation,Aux Pulse Input Total 3,Aux Pulse Input Total 3 - 57017,noUnits
57017,analogValue:17,presentValue,0,24001:17,480,noSegmentation,Aux Pulse Input Total 3,Aux Pulse Input Total 3 - 57017,noUnits
57017,analogValue:17,priorityArray,"[{""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}]",24001:17,480,noSegmentation,Aux Pulse Input Total 3,Aux Pulse Input Total 3 - 57017,noUnits
57017,analogValue:17,reliability,noFaultDetected,24001:17,480,noSegmentation,Aux Pulse Input Total 3,Aux Pulse Input Total 3 - 57017,noUnits
57017,analogValue:17,relinquishDefault,0,24001:17,480,noSegmentation,Aux Pulse Input Total 3,Aux Pulse Input Total 3 - 57017,noUnits
57017,analogValue:17,statusFlags,"[0, 0, 0, 0]",24001:17,480,noSegmentation,Aux Pulse Input Total 3,Aux Pulse Input Total 3 - 57017,noUnits
57017,analogValue:18,eventState,normal,24001:17,480,noSegmentation,Run Hours,Run Hours - 57017,hours
57017,analogValue:18,outOfService,FALSE,24001:17,480,noSegmentation,Run Hours,Run Hours - 57017,hours
57017,analogValue:18,presentValue,5398.783203,24001:17,480,noSegmentation,Run Hours,Run Hours - 57017,hours
57017,analogValue:18,priorityArray,"[{""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}]",24001:17,480,noSegmentation,Run Hours,Run Hours - 57017,hours
57017,analogValue:18,reliability,noFaultDetected,24001:17,480,noSegmentation,Run Hours,Run Hours - 57017,hours
57017,analogValue:18,relinquishDefault,0,24001:17,480,noSegmentation,Run Hours,Run Hours - 57017,hours
57017,analogValue:18,statusFlags,"[0, 0, 0, 0]",24001:17,480,noSegmentation,Run Hours,Run Hours - 57017,hours
57017,analogValue:19,eventState,normal,24001:17,480,noSegmentation,Incremental Energy Total Mode 1,Incremental Energy Total Mode 1 - 57017,kiloBtus
57017,analogValue:19,outOfService,FALSE,24001:17,480,noSegmentation,Incremental Energy Total Mode 1,Incremental Energy Total Mode 1 - 57017,kiloBtus
57017,analogValue:19,presentValue,0,24001:17,480,noSegmentation,Incremental Energy Total Mode 1,Incremental Energy Total Mode 1 - 57017,kiloBtus
57017,analogValue:19,priorityArray,"[{""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}]",24001:17,480,noSegmentation,Incremental Energy Total Mode 1,Incremental Energy Total Mode 1 - 57017,kiloBtus
57017,analogValue:19,reliability,noFaultDetected,24001:17,480,noSegmentation,Incremental Energy Total Mode 1,Incremental Energy Total Mode 1 - 57017,kiloBtus
57017,analogValue:19,relinquishDefault,0,24001:17,480,noSegmentation,Incremental Energy Total Mode 1,Incremental Energy Total Mode 1 - 57017,kiloBtus
57017,analogValue:19,statusFlags,"[0, 0, 0, 0]",24001:17,480,noSegmentation,Incremental Energy Total Mode 1,Incremental Energy Total Mode 1 - 57017,kiloBtus
57017,analogValue:2,eventState,normal,24001:17,480,noSegmentation,Energy Total Mode 2,Energy Total Mode 2 - 57017,kiloBtus
57017,analogValue:2,outOfService,FALSE,24001:17,480,noSegmentation,Energy Total Mode 2,Energy Total Mode 2 - 57017,kiloBtus
57017,analogValue:2,presentValue,6005.124023,24001:17,480,noSegmentation,Energy Total Mode 2,Energy Total Mode 2 - 57017,kiloBtus
57017,analogValue:2,priorityArray,"[{""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}]",24001:17,480,noSegmentation,Energy Total Mode 2,Energy Total Mode 2 - 57017,kiloBtus
57017,analogValue:2,reliability,noFaultDetected,24001:17,480,noSegmentation,Energy Total Mode 2,Energy Total Mode 2 - 57017,kiloBtus
57017,analogValue:2,relinquishDefault,0,24001:17,480,noSegmentation,Energy Total Mode 2,Energy Total Mode 2 - 57017,kiloBtus
57017,analogValue:2,statusFlags,"[0, 0, 0, 0]",24001:17,480,noSegmentation,Energy Total Mode 2,Energy Total Mode 2 - 57017,kiloBtus
57017,analogValue:20,eventState,normal,24001:17,480,noSegmentation,Incremental Energy Total Mode 2,Incremental Energy Total Mode 2 - 57017,kiloBtus
57017,analogValue:20,outOfService,FALSE,24001:17,480,noSegmentation,Incremental Energy Total Mode 2,Incremental Energy Total Mode 2 - 57017,kiloBtus
57017,analogValue:20,presentValue,0,24001:17,480,noSegmentation,Incremental Energy Total Mode 2,Incremental Energy Total Mode 2 - 57017,kiloBtus
57017,analogValue:20,priorityArray,"[{""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}]",24001:17,480,noSegmentation,Incremental Energy Total Mode 2,Incremental Energy Total Mode 2 - 57017,kiloBtus
57017,analogValue:20,reliability,noFaultDetected,24001:17,480,noSegmentation,Incremental Energy Total Mode 2,Incremental Energy Total Mode 2 - 57017,kiloBtus
57017,analogValue:20,relinquishDefault,0,24001:17,480,noSegmentation,Incremental Energy Total Mode 2,Incremental Energy Total Mode 2 - 57017,kiloBtus
